Recipe,Ingredients,Time (in minutes),instructions,Level,Category,Rate,Last Date
egg with tomato,"1 spoon  salt, 2 egg,1/4 cup oil, 1/2 tomato ",6," first put the oil then put the oil and put the mixure of egg  and salt , then put at the top diced tomato",Easy,breakfast,4,20/9/2026
coffee,"1/4 cup coffee,1 cup milk,2 spoon suger",10,mix it to gother,Easy,desert,1,9/9/2026
sweet,"1 egg,3 spoon sugar, 1 cup flour,1 litre milk , 1/2cup  chocolate powder",40,"mix it to gother ,  then put it in the over by 40 min in temperture 180",Medium,desert,3,5/8/2026
fries,"1 potato,2 spoon salt ,1/4 cup of oil",10,"cut the potato , then put the salt , after that put the oil in the bowl iin the oven , and after two minutes put potato in the bowl ,,",Easy,dinner,2,7/4/2026
Mac and Cheese,"1/3 cup Macaroni,1/2 cup water,1/4 cup cheese,2 Tablespoon milk",5,"put macaroni and water in a mug and microwave it for 3 minutes, then add the cheese and milk, stir the mixure well, and microwave it again for 30 seconds.",Easy,dinner,4,15/6/2026
pizza ,"2 cups flour,3/4 cup warm water,1 tablespoon yeast,1 tablespoon olive oil,1/2 cup pizza sauce ,1 cup mozzarella cheese,",90,"mix the flour, water, yeast, olive oil to make dough, let it rest for 1 hour, then roll it out, spread the sauce and cheese on top, and bake it in a hot oven for 12 minutes.",Medium,lunch,4,15/6/2026
pancake,"1 cup of flour, 1 tablespoon sugar,1  tablespoon baking powder, 1 cup of milk, 1 egg, 2 spoon melted butter",15,"whisk flour, sugar, baking powder, milk, egg and butter until smooth, then pour the batter onto a hot pan and cook each side for 2 minutes.",Easy,breakfast,5,7/4/2026
omelette,"2 egg, 1 spoon salt, 1/4 cup oil",18,"but the oil in the oven  by two minutes , the put the egg  and salt and mix it , then put it in oven by 2 min then flips it ",Easy,breakfast,4,20/9/2026
fruit salad,"apple, banana, orange juice, ",6,mix it to gother,Easy,desert,3,20/9/2026
fruit salad,"1 mango, 1 apple, 1 banana, 1 orange juice",5,mix them in bowl,Easy,desert,3,20/9/2026
